px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.78541	-7.11991	-2.7433	-2.58867	-0.481558	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	15.1582
6.90671	-7.02605	-2.74538	-2.6049	-0.472137	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.430971
7.03745	-6.94828	-2.74613	-2.62848	-0.468348	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.045375
7.16572	-6.8551	-2.75223	-2.6427	-0.457099	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.579483
7.26448	-6.73503	-2.7392	-2.59869	-0.354776	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	9.02857
7.38735	-6.64124	-2.74206	-2.60771	-0.345075	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.407352
7.52982	-6.60292	-2.75202	-2.6712	-0.414677	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.43966
7.65198	-6.52881	-2.75652	-2.68503	-0.407984	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.224052
7.77394	-6.44315	-2.75144	-2.68207	-0.372437	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.2345
7.90302	-6.37311	-2.7485	-2.69866	-0.369343	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.14456
8.0296	-6.2946	-2.74423	-2.69779	-0.338154	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.903478
8.16139	-6.21534	-2.74686	-2.70692	-0.329371	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.294001
8.25669	-6.11288	-2.73541	-2.66293	-0.241705	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	7.10501
8.37179	-6.03131	-2.73808	-2.66327	-0.23091	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.457126
8.51781	-5.97861	-2.74403	-2.70126	-0.269524	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.62682
8.65419	-5.90585	-2.74712	-2.71087	-0.264563	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.100319
8.76246	-5.79734	-2.7356	-2.66298	-0.17374	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.90443
